Nhung cau thu co can nang tren 60kg:
Ten: Nguyen Van An | Chieu cao: 1.85m | Can nang: 75.50kg
Ten: Le Hoang Cuong | Chieu cao: 1.90m | Can nang: 82.30kg
Ten: Pham Minh Duc | Chieu cao: 1.68m | Can nang: 61.20kg
Ten: Dang Thanh Nam | Chieu cao: 1.88m | Can nang: 79.00kg
Ten: Ngo Quang Hai | Chieu cao: 1.82m | Can nang: 73.00kg
Ten: Do Hoang Long | Chieu cao: 1.95m | Can nang: 88.50kg
Ten: Vu Van Dat | Chieu cao: 1.80m | Can nang: 68.50kg
Ten: Ly Minh Triet | Chieu cao: 1.86m | Can nang: 76.00kg
Ten: Trinh Cong Son | Chieu cao: 1.78m | Can nang: 64.00kg
Ten: Mai Phuong Thuy | Chieu cao: 1.81m | Can nang: 62.50kg
Ten: Cao Minh Khang | Chieu cao: 1.89m | Can nang: 81.00kg
Ten: Doan Van Hau | Chieu cao: 1.83m | Can nang: 77.50kg
Ten: Kieu Minh Tuan | Chieu cao: 1.77m | Can nang: 66.20kg
